key,operator,county,well_name,well_num,issue_date,spud_date,status,status
255742,"APEX NATURAL GAS, LLC",DE SOTO,TIMBER 8&20-11-11HC,001,2026-06-30,,01,PERMITTED
255743,"APEX NATURAL GAS, LLC",DE SOTO,TIMBER 8&20-11-11HC,002,2026-06-30,,01,PERMITTED
255744,COTEAU ENERGY LLC,CALCASIEU,DEROUEN ET AL,001,2026-06-30,,01,PERMITTED
255745,ADAMAS ENERGY LLC,BOSSIER,HA RA SU110;COWLEY 2-11 HC,003-ALT,2026-06-30,,01,PERMITTED
255747,UNIVERSAL OIL CO.,CADDO,HERRING,007,2026-07-01,,01,PERMITTED
255748,"WNR HAYNESVILLE OPERATING, LLC",WEBSTER,HA RA SU90;MARSTON 32-29H,001,2026-07-01,,01,PERMITTED
255749,"WNR HAYNESVILLE OPERATING, LLC",DE SOTO,HA RA SUK;JOHNSONTRUST29-32HC,001-ALT,2026-07-01,,01,PERMITTED
255750,"WNR HAYNESVILLE OPERATING, LLC",DE SOTO,HA RA SUK;JOHNSONTRUSTS29-32HC,002-ALT,2026-07-01,,01,PERMITTED
255751,EXPAND OPERATING LLC,DE SOTO,HA RA SUQQ;SAN 3&10-10-12 HC,001-ALT,2026-07-01,,01,PERMITTED
255752,EXPAND OPERATING LLC,DE SOTO,HA RA SUQQ;SAN 3&10-10-12 HC,002-ALT,2026-07-01,,01,PERMITTED
255753,EXPAND OPERATING LLC,DE SOTO,HA RA SUQQ;SAN 3&10-10-12 HC,003-ALT,2026-07-01,,01,PERMITTED
255754,EXPAND OPERATING LLC,DE SOTO,HA RA SUFF;ALVA 34&27&22&15 HC,001-ALT,2026-07-01,,01,PERMITTED
255755,EXPAND OPERATING LLC,DE SOTO,HA RA SUFF;ALVA 34&3-11-11 HC,003-ALT,2026-07-01,,01,PERMITTED
255756,EXPAND OPERATING LLC,DE SOTO,HA RA SUFF;ALVA 34&3-11-11 HC,004-ALT,2026-07-01,,01,PERMITTED
976397,BAYOU STATE OIL CORPORATION,BOSSIER,WEATHERBEE SWD,004,2026-07-01,,02,APPROVAL TO CONSTRUCT INJECTION WELL
255757,"MANTLE OIL & GAS, LLC",ASSUMPTION,ARMELISE A,001,2026-07-02,,01,PERMITTED
976398,CAMEX OPERATING COMPANY,ACADIA,ESTATE OF MERVINE KAHN LLC SWD,001,2026-07-02,,02,APPROVAL TO CONSTRUCT INJECTION WELL
255758,"ETHYL GAS COMPANY, LLC",CADDO,J.W. BRIGGS FEE B,032,2026-07-06,,01,PERMITTED
255759,"ETHYL GAS COMPANY, LLC",CADDO,J.W. BRIGGS FEE B,033,2026-07-06,,01,PERMITTED
